brand_name,total_orders_target,total_flgp_target,flgp_impact_incremental,orders_impact_incremental,fully_loaded_gross_profit_eur_2023,fully_loaded_gross_profit_eur_2024,total_orders_2024,total_orders_2023,perc_flgp,perc_orders
Glovo,206807179.56518403,349452393.6568754,374729.69546815864,66505.90105487262,269118370.0,364154291.60861653,217268402.17298174,171338549.0,0.001072334035393968,0.00032158410164822383
Total,206807179.56518403,349452393.6568754,374729.69546815864,66505.90105487262,269118370.0,364154291.60861653,217268402.17298174,171338549.0,0.001072334035393968,0.00032158410164822383
