brand_name,total_orders_target,total_flgp_target,flgp_impact_incremental,orders_impact_incremental,fully_loaded_gross_profit_eur_2023,fully_loaded_gross_profit_eur_2024,total_orders_2024,total_orders_2023,perc_flgp,perc_orders
Foodora,51436425.89747221,101986813.72874707,-513543.73941514565,887558.9607893724,116666484.73302926,102500357.46816221,50548866.936682835,41949707.0,-0.005035393504703568,0.017255455551257317
Foodpanda,507048204.862061,296422842.5832182,1591390.664675407,9157586.254066695,331611121.44443333,294831451.9185428,497890618.6079943,548328397.0,0.0053686505763422656,0.018060583128497523
Foody,4775288.315578793,5979797.633355371,-302248.94077787467,4369.113791778975,2529987.3673945875,6282046.574133245,4770919.2017870145,2641885.0,-0.050545011605731785,0.0009149424082992594
HungerStation,152768507.82665908,499696563.73523915,-854485.5879020542,1149004.3407790307,412050315.95150334,500551049.3231412,151619503.48588005,128872642.0,-0.0017100089332509351,0.007521212042489572
PedidosYa,201614732.3161983,224647555.23484606,927310.5956023405,1799492.2414494292,215074483.9348809,223720244.63924372,199815240.07474884,174698206.0,0.004127846370876069,0.008925400543781855
Talabat,311305978.06603944,578876929.4580965,10937367.111118997,1595100.4606634376,415608756.221316,567939562.3469775,309710877.60537595,232334442.0,0.018894114715122232,0.005123899227932777
Yemeksepeti,106585221.24552621,48505832.282521635,1085228.845243555,825898.1426735194,1996775.7888999376,47420603.43727808,105759323.10285269,33035636.0,0.022373162033848894,0.007748711622702435
eFood,19706644.704181585,29898297.915228896,7895033.403733956,-10757.787301198812,3586599.1172977053,22003264.511494942,19717402.491482783,8404450.0,0.2640629719497366,-0.00054589644572605
Total,1355241003.2337167,1786014632.571253,20766052.35227918,15408251.726912064,1499124524.558755,1765248580.2189736,1339832751.5068045,1170265365.0,0.011627033717177968,0.011369381305721054
