entity_id,control_avg_orders,control_avg_flgp,control_users,a_only_avg_orders,a_only_avg_flgp,a_only_users,b_only_avg_orders,b_only_avg_flgp,b_only_users,ab_avg_orders,ab_avg_flgp,ab_users,orders_per_user_bias,impact_on_total_orders,flgp_per_user_bias,impact_on_total_flgp,test_id_1,test_id_2
AP_PA,4.776041666666668,5.546027740921085,384,4.433751743375178,5.0900843913103575,1434,4.379403794037942,6.391132328931224,369,4.723317471108094,5.8517974887618855,1471,0.6862,1009.0,-0.0834,-122.68,104,145
AP_PA,4.73809523809524,5.473819107336134,378,4.510130246020265,5.276455715665924,1382,4.393162393162393,6.3901210649450535,351,4.702157272094634,5.879429535713875,1437,0.537,772.0,-0.3133,-450.21,104,149
AP_PA,0.3968966161899422,0.4043887585692807,10698,0.9776071470279107,1.256350227191819,34252,0.522108843537415,0.4780577907015215,14112,0.8630653721995883,1.0695747279330552,82711,-0.2398,-19834.0,-0.2604,-21537.94,105,106
AP_PA,0.5777777777777778,0.13722445810307776,630,0.8196046128500827,0.10938520572953028,2428,0.4404255319148936,-0.11305733564034492,940,0.805206149545772,0.11731196639359791,5724,0.123,704.0,0.2582,1477.94,105,108
AP_PA,0.29629629629629634,0.35595689917055995,189,0.6083150984682714,1.0152457082419557,914,0.33164556962025316,0.20312257226156902,395,0.5965939329430548,0.6435249990034946,1879,-0.0471,-89.0,-0.2189,-411.31,105,109
AP_PA,0.4300126103404792,0.5020197836495595,793,0.7495366693142707,0.8472334031507992,3777,0.5290123456790123,0.5504263076988846,1620,0.8013654515007089,0.8989863460877099,7763,-0.0472,-366.0,0.0033,25.62,105,110
AP_PA,0.20244215938303342,0.0028215451350262766,3112,0.3970836226564826,0.0461424634143367,10081,0.21633503007866733,-0.053454058641246305,4322,0.38768957796459796,0.024305546663918754,23671,-0.0233,-552.0,0.0344,814.28,105,111
AP_PA,0.36596471257825847,-0.003435361179698719,1757,0.5431640365999206,0.09124584152664077,7541,0.3251978891820581,-0.07892667356831809,3032,0.5612611022881009,0.08780682474134065,17001,0.0589,1001.0,0.0721,1225.77,105,112
AP_PA,0.552161042036708,0.4505764663518429,25335,0.8325636201227735,0.9749494252562961,52617,0.21534063839923775,0.178912851794309,2099,0.8654800881004802,0.9851512838022022,83995,0.3697,31053.0,0.2819,23678.19,105,113
AP_PA,0.577803285745032,0.39992354528026886,13939,0.8387793680799353,0.895839069199754,14812,0.24118942731277523,0.13240439283350186,1816,0.9061904692657821,0.9428128190243789,68767,0.404,27782.0,0.3145,21627.22,105,117
AP_PA,0.3963414634146342,0.17661925354834548,7052,0.6997628412771865,0.7197197935735294,34576,0.43641660597232335,0.2588556149833508,6865,0.6588450704225356,0.6374417605608692,35500,-0.081,-2876.0,-0.1645,-5839.75,105,128
AP_PA,0.28185554903112187,-0.10704195544358092,1703,0.4088657436809355,-0.002353959795377225,7873,0.25626204238920974,-0.0663887860385526,1557,0.4658227848101268,0.0710418980429559,8295,0.0826,685.0,0.0327,271.25,105,129
AP_PA,0.40064255930002063,0.17817722910720288,14629,0.560013554727211,0.555066609210367,14755,0.14235938277750126,0.023415045311375775,2009,0.6293092727951032,0.5702994907424863,72373,0.3276,23709.0,0.17,12303.41,105,130
AP_PA,0.3847331583552056,0.22918040477339063,4572,0.6782923299565845,0.701835207204237,20730,0.4152066115702482,0.21248620585518863,9075,0.6507886168548352,0.6391243705440508,47298,-0.058,-2743.0,-0.046,-2175.71,105,132
AP_PA,0.6148958701023651,0.3460053795130218,2833,0.6349614395886891,0.4101869067048381,778,0.6271613832853027,0.4201881681291036,2776,0.7846715328467158,0.5801427150925709,822,0.1374,113.0,0.0958,78.75,105,133
AP_PA,0.41154422788605693,0.16864844406459303,6670,0.6533657182512146,0.4534934196688637,2882,0.417182545674166,0.19541545247721848,6623,0.7233632862644415,0.5674320396353391,3116,0.0644,201.0,0.0872,271.72,105,134
AP_PA,0.4176366147169067,0.18047759197848834,10138,0.1969448990725587,0.1744191793803917,1833,0.14490527393753205,0.006458706429556626,1953,0.6797762280634532,0.5969982639309147,65245,0.7556,49299.0,0.5966,38925.17,105,135
AP_PA,0.21332436069986543,-0.09642723097735789,1486,0.4473150277289332,0.09489036555974749,7393,0.2688366485834841,0.02655159273850308,1659,0.4351292272084347,0.033672253734957705,7777,-0.0677,-527.0,-0.1842,-1432.52,105,144
AP_PA,0.6052631578947372,0.4081422460582885,304,1.1249151391717582,0.9982422891516902,1473,0.437086092715232,-0.09815232356012082,302,0.9108910891089101,1.1813136143242524,1515,-0.0458,-69.0,0.6894,1044.44,105,147
AP_PA,0.549337260677467,0.2323021461538421,1358,0.9756408440730776,1.0247127257621673,7061,0.5793528505392912,0.3348136766734765,1298,1.0280852241283895,1.025727240913592,7228,0.0224,162.0,-0.1015,-733.64,105,151
AP_PA,4.689855072463765,9.842038162311495,1035,4.766942954656254,8.995948616911795,2051,4.982905982905991,10.404836514216461,936,4.959143968871607,9.579937582730198,2056,-0.1008,-207.0,0.0212,43.59,106,107
AP_PA,4.445312499999999,9.565880502629856,128,4.976833976833976,8.187291685827072,259,5.083665338645421,9.667657563070799,251,5.064705882352945,9.33015745328138,510,-0.5505,-281.0,1.0411,530.96,106,109
AP_PA,5.192052980132449,11.136493268852572,604,5.471625766871155,10.148736344719804,1304,5.2887490165224165,10.686292356100365,1271,5.292748091603046,10.697189519103306,2620,-0.2756,-722.0,0.9987,2616.59,106,110
AP_PA,3.3509933774834435,2.8821986013269796,302,3.355329949238576,4.411145852693585,591,3.5597722960151814,4.48488552201907,527,3.423744292237444,3.2159682745473477,1095,-0.1404,-154.0,-2.7979,-3063.7,106,111
AP_PA,3.2156398104265413,2.991996427686331,422,3.6206115515288775,5.239125914634994,883,3.3337182448036957,4.34668942709825,866,3.462018140589573,3.6439957705231576,1764,-0.2767,-488.0,-2.9498,-5203.45,106,112
