entity_id,session_key,session_id_impressions,session_id_order,platform_order_code,df_dps,df_impressions,delivery_fee_eur,dps_delivery_fee_eur
MJM_AT,+DCAMr7n+S+meWOlC/k+lw==,1717927159997.8345649645.bzrdavotii,,,2.49,2.49,,
MJM_AT,+DCAMr7n+S+meWOlC/k+lw==,1717927159997.8345649645.bzrdavotii,,,0.0,0.0,,
MJM_AT,+DCAMr7n+S+meWOlC/k+lw==,1717927159997.8345649645.bzrdavotii,,,4.99,4.99,,
MJM_AT,+DCAMr7n+S+meWOlC/k+lw==,1717927159997.8345649645.bzrdavotii,,,0.0,0.0,,
MJM_AT,+DCAMr7n+S+meWOlC/k+lw==,1717927159997.8345649645.bzrdavotii,,,4.99,4.99,,
MJM_AT,+DCAMr7n+S+meWOlC/k+lw==,1717927159997.8345649645.bzrdavotii,,,0.0,0.0,,
MJM_AT,+DCAMr7n+S+meWOlC/k+lw==,1717927159997.8345649645.bzrdavotii,,,4.49,4.49,,
MJM_AT,+DCAMr7n+S+meWOlC/k+lw==,1717927159997.8345649645.bzrdavotii,,,2.49,2.49,,
MJM_AT,+DCAMr7n+S+meWOlC/k+lw==,1717927159997.8345649645.bzrdavotii,,,0.99,0.99,,
MJM_AT,+DCAMr7n+S+meWOlC/k+lw==,1717927159997.8345649645.bzrdavotii,,,2.49,2.49,,
MJM_AT,+DCAMr7n+S+meWOlC/k+lw==,1717927159997.8345649645.bzrdavotii,,,0.99,0.99,,
MJM_AT,+DCAMr7n+S+meWOlC/k+lw==,1717927159997.8345649645.bzrdavotii,,,1.99,1.99,,
MJM_AT,+DCAMr7n+S+meWOlC/k+lw==,1717927159997.8345649645.bzrdavotii,,,4.99,4.99,,
MJM_AT,+DCAMr7n+S+meWOlC/k+lw==,1717927159997.8345649645.bzrdavotii,,,3.49,3.49,,
MJM_AT,+DCAMr7n+S+meWOlC/k+lw==,1717927159997.8345649645.bzrdavotii,,,0.0,0.0,,
MJM_AT,+DCAMr7n+S+meWOlC/k+lw==,1717927159997.8345649645.bzrdavotii,,,2.79,2.79,,
MJM_AT,+DCAMr7n+S+meWOlC/k+lw==,1717927159997.8345649645.bzrdavotii,,,2.49,2.49,,
MJM_AT,+DCAMr7n+S+meWOlC/k+lw==,1717927159997.8345649645.bzrdavotii,,,0.99,0.99,,
MJM_AT,+DCAMr7n+S+meWOlC/k+lw==,1717927159997.8345649645.bzrdavotii,,,0.0,0.0,,
MJM_AT,+DCAMr7n+S+meWOlC/k+lw==,1717927159997.8345649645.bzrdavotii,,,3.29,3.29,,
MJM_AT,+DCAMr7n+S+meWOlC/k+lw==,1717927159997.8345649645.bzrdavotii,,,3.99,3.99,,
MJM_AT,+DCAMr7n+S+meWOlC/k+lw==,1717927159997.8345649645.bzrdavotii,,,0.0,0.0,,
MJM_AT,+DCAMr7n+S+meWOlC/k+lw==,1717927159997.8345649645.bzrdavotii,,,4.99,4.99,,
